-999 45.99 -74.01
year month day global_rad(MJ/m2) cloud_cov(-) air_temp(C) rel_hum(%) air_press(hPa) wind_sp(m/s) precip(mm/day) inflow(m3/day) inflow_T(C) inflow_C(-) inflow_S(kg/m3) inflow_TP(mg/m3) inflow_DOP(mg/m3) inflow_chla(mg/m3) inflow_DOC(mg/m3) 
2015  3 19 20.455 0.070  -9.98  50.97  989.53  3.672  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 20 18.356 0.792  -4.42  52.82  987.04  2.658  0.003    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 21  5.043 0.856  -2.72  86.50  976.34  3.792  8.477    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 22 20.304 0.404 -14.99  56.46  982.62  5.367  0.106    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 23 19.960 0.504 -13.01  57.88  987.14  4.306  0.012    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 24 21.050 0.105  -6.93  63.42  992.25  2.310  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 25 20.147 0.602  -2.00  66.22  986.61  3.057  2.522    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 26  9.098 0.966   2.22  83.54  973.51  4.467  2.417    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 27 12.662 0.930  -2.44  73.40  974.88  2.825  0.652    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 28 22.665 0.257  -8.34  52.24  982.00  3.441  0.101    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 29 22.141 0.431  -4.94  55.73  983.38  3.561  0.001    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 30  9.472 0.989  -0.27  81.72  968.14  4.419  7.272    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  3 31 22.714 0.397  -4.53  57.79  974.42  3.441  0.017    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4  1 23.514 0.117  -5.92  54.35  983.33  3.135  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4  2 12.790 0.908  -1.08  75.96  978.22  2.647  6.581    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4  3 22.430 0.538   5.55  73.95  972.18  3.487  1.805    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4  4 20.841 0.510  -3.11  62.42  976.14  4.245  8.652    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4  5 22.614 0.472  -6.84  57.28  983.25  4.142  0.663    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4  6 13.496 0.804  -5.80  70.75  990.08  1.954  0.184    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4  7 24.657 0.266  -2.00  54.34  994.05  2.318  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4  8 20.382 0.927  -2.10  52.75  995.78  2.809  0.571    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4  9 15.432 0.921   1.39  80.35  989.96  4.124  1.800    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 10  3.579 0.972   3.63  92.37  969.72  4.817 17.932    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 11 21.650 0.533   3.27  64.76  975.26  6.022  0.483    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 12 24.471 0.150   7.02  58.31  986.55  3.935  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 13 23.536 0.454  11.36  56.51  983.39  3.698  4.473    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 14 24.185 0.314   8.78  52.16  982.74  5.224  0.663    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 15 25.591 0.030   5.28  41.47  990.99  3.536  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 16 24.251 0.507   6.79  40.20  992.11  2.354  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 17 23.258 0.364  12.04  49.35  978.67  4.088  0.323    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 18 14.112 0.537   3.61  67.00  982.71  2.880  3.069    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 19 26.012 0.250   5.55  49.28  990.38  2.366  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 20  3.559 1.000   4.61  76.34  978.61  5.061 13.390    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 21  8.782 0.715   6.45  84.72  967.99  3.704 18.054    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 22 17.165 0.697   4.32  80.33  968.74  2.587  5.428    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
