id,Depth,Date,year,Temperature,airP_hPa,z_m,airT_oC
waterT03_1.0m_oC,1,2018-09-03,2018,21.85451388888889,977.2201388888889,10.066377807264567,21.581944444444446
waterT03_1.0m_oC,1,2018-09-04,2018,22.13361111111111,982.3722222222223,10.067730067097322,19.028472222222224
waterT03_1.0m_oC,1,2018-09-05,2018,22.638472222222223,978.8743055555556,10.068468334908223,20.34861111111111
waterT03_1.0m_oC,1,2018-09-06,2018,22.919097222222224,976.8416666666667,10.049542705431742,19.80625
waterT03_1.0m_oC,1,2018-09-07,2018,22.24,980.74375,10.042113640148942,13.700694444444444
waterT03_1.0m_oC,1,2018-09-08,2018,21.51701388888889,981.3020833333334,10.037114669070933,10.808333333333334
waterT03_1.0m_oC,1,2018-09-09,2018,20.696180555555554,984.3736111111111,10.031210469001477,8.91875
waterT03_1.0m_oC,1,2018-09-10,2018,20.023333333333333,983.9458333333333,10.026128143912544,9.502083333333333
waterT03_1.0m_oC,1,2018-09-11,2018,19.425555555555555,978.55,10.031705886793375,13.21111111111111
waterT03_1.0m_oC,1,2018-09-12,2018,19.66722222222222,982.6868055555556,10.033688876510672,16.632638888888888
waterT03_1.0m_oC,1,2018-09-13,2018,19.851388888888888,983.9597222222222,10.030361516660752,17.116666666666667
waterT03_1.0m_oC,1,2018-09-14,2018,20.545,982.2881944444445,10.027961911970733,18.314583333333335
waterT03_1.0m_oC,1,2018-09-15,2018,20.86916666666667,979.6611111111112,10.026764595538056,19.69375
waterT03_1.0m_oC,1,2018-09-16,2018,21.36715277777778,980.8715277777778,10.024074558321244,19.28125
waterT03_1.0m_oC,1,2018-09-17,2018,21.753611111111113,974.7375,10.014888122968706,20.388194444444444
waterT03_1.0m_oC,1,2018-09-18,2018,21.805208333333333,967.2895833333333,10.00312740341446,19.429166666666667
waterT03_1.0m_oC,1,2018-09-19,2018,21.055,973.7083333333334,10.001077146771717,11.602083333333333
waterT03_1.0m_oC,1,2018-09-20,2018,20.41201388888889,980.4645833333333,9.995654792354621,11.321527777777778
waterT03_1.0m_oC,1,2018-09-21,2018,19.73027777777778,971.8451388888889,10.00375699815658,13.529166666666667
waterT03_1.0m_oC,1,2018-09-22,2018,18.970347222222223,972.5083333333333,10.04824429688301,12.184722222222222
waterT03_1.0m_oC,1,2018-09-23,2018,18.135069444444444,980.58125,10.044256790106145,7.472222222222222
waterT03_1.0m_oC,1,2018-09-24,2018,17.354444444444443,990.2736111111111,10.038963879102445,5.636111111111111
waterT03_1.0m_oC,1,2018-09-25,2018,16.55645833333333,983.5916666666667,10.041545194389064,7.675694444444445
waterT03_1.0m_oC,1,2018-09-26,2018,16.215902777777778,967.2951388888889,10.065015196958186,15.555555555555555
waterT03_1.0m_oC,1,2018-09-27,2018,16.168680555555557,976.2194444444444,10.083943161868048,9.564583333333333
waterT03_1.0m_oC,1,2018-09-28,2018,16.148819444444445,974.4673611111111,10.083684439682935,11.985416666666667
waterT03_1.0m_oC,1,2018-09-29,2018,16.004375,976.0548611111111,10.082982555913025,10.39861111111111
waterT03_1.0m_oC,1,2018-09-30,2018,15.642013888888888,981.0625,10.079349405831191,7.4430555555555555
waterT03_1.0m_oC,1,2018-10-01,2018,15.365625,983.7875,10.076145472360873,7.282638888888889
waterT03_1.0m_oC,1,2018-10-02,2018,14.915416666666667,979.9729166666667,10.07448784151287,6.532638888888889
waterT03_1.0m_oC,1,2018-10-03,2018,14.363472222222223,975.3645833333334,10.074813096994276,7.7652777777777775
waterT03_1.0m_oC,1,2018-10-04,2018,14.161041666666666,968.4381944444444,10.077317607468174,12.158333333333333
waterT03_1.0m_oC,1,2018-10-05,2018,13.80451388888889,980.5652777777777,10.079836328112389,4.540972222222222
waterT03_1.0m_oC,1,2018-10-06,2018,13.417013888888889,978.0611111111111,10.07710783272348,5.174305555555556
