"","year","month","day","global_rad.MJ.m2.","cloud_cov...","air_temp.C.","rel_hum...","air_press.hPa.","wind_sp.m.s.","rain","date","doy","doy_start","buoy_start","buoy_end","category","period"
"43",2015,11,2,4.434,0.937,6.65,80.24,982.5,2.866,0.896,2015-11-02,"306",264,134,309,"buoy","lf"
"44",2015,11,3,7.575,0.611,6.77,87.03,986.75,2.323,3.175,2015-11-03,"307",264,134,309,"buoy","lf"
"45",2015,11,4,9.285,0.087,5.41,85.57,992.68,2.057,0,2015-11-04,"308",264,134,309,"buoy","lf"
"46",2015,11,5,9.608,0.301,9.19,78.3,986.27,1.463,0.004,2015-11-05,"309",264,134,309,"buoy","lf"
"47",2016,9,21,18.294,0.207,16.96,65.32,986.51,3.786,0,2016-09-21,"265",265,131,307,"buoy","lf"
"48",2016,9,22,9.94,0.885,13.52,77.74,987.65,2.726,6.927,2016-09-22,"266",265,131,307,"buoy","lf"
"49",2016,9,23,13.579,0.624,10.8,77.04,986.65,3.239,0.213,2016-09-23,"267",265,131,307,"buoy","lf"
"50",2016,9,24,16.127,0.259,8.3,66.97,988.34,3.417,0.053,2016-09-24,"268",265,131,307,"buoy","lf"
"51",2016,9,25,16.858,0.061,7.54,68.29,988.77,2.837,0,2016-09-25,"269",265,131,307,"buoy","lf"
"52",2016,9,26,15.275,0.938,9.08,72.42,984.91,2.264,1.365,2016-09-26,"270",265,131,307,"buoy","lf"
"53",2016,9,27,13.877,0.535,12.68,79.81,978.97,2.1,2.414,2016-09-27,"271",265,131,307,"buoy","lf"
"54",2016,9,28,12.13,0.497,10.95,86.97,991.32,4.183,0.302,2016-09-28,"272",265,131,307,"buoy","lf"
"55",2016,9,29,16.798,0.402,9.93,74.66,999.88,3.9,0,2016-09-29,"273",265,131,307,"buoy","lf"
"56",2016,9,30,14.105,0.838,10.94,68.58,998.5,3.381,0.059,2016-09-30,"274",265,131,307,"buoy","lf"
"57",2016,10,1,11.95,0.932,12.36,68.79,992.72,3.054,0.185,2016-10-01,"275",265,131,307,"buoy","lf"
"58",2016,10,2,1.877,0.986,11.03,90.16,984.89,1.959,3.07,2016-10-02,"276",265,131,307,"buoy","lf"
"59",2016,10,3,6.553,0.755,12.21,86.75,985.84,2.593,0.044,2016-10-03,"277",265,131,307,"buoy","lf"
"60",2016,10,4,15.625,0.027,9.76,74.96,993.61,1.799,0,2016-10-04,"278",265,131,307,"buoy","lf"
"61",2016,10,5,15.686,0.072,10.29,82.94,993.48,1.399,0,2016-10-05,"279",265,131,307,"buoy","lf"
"62",2016,10,6,14.45,0.209,13.1,83.14,991.41,1.984,0,2016-10-06,"280",265,131,307,"buoy","lf"
"63",2016,10,7,14.951,0.054,14.33,81.84,989.81,1.713,0,2016-10-07,"281",265,131,307,"buoy","lf"
"64",2016,10,8,2.559,0.914,12.18,91.15,982.08,3.117,5.924,2016-10-08,"282",265,131,307,"buoy","lf"
"65",2016,10,9,10.692,0.906,6.94,72.2,988.17,3.318,0,2016-10-09,"283",265,131,307,"buoy","lf"
"66",2016,10,10,15.021,0.064,4.38,65.45,993.4,3.104,0,2016-10-10,"284",265,131,307,"buoy","lf"
"67",2016,10,11,14.544,0.257,7.27,67.67,995.05,2.217,0,2016-10-11,"285",265,131,307,"buoy","lf"
"68",2016,10,12,13.172,0.397,10.76,69.48,988.46,2.565,0.135,2016-10-12,"286",265,131,307,"buoy","lf"
"69",2016,10,13,3.335,0.782,7.64,84.49,981.97,4.017,6.149,2016-10-13,"287",265,131,307,"buoy","lf"
"70",2016,10,14,12.034,0.494,3.35,71.46,994.18,2.136,0,2016-10-14,"288",265,131,307,"buoy","lf"
"71",2016,10,15,12.911,0.701,6.6,74.4,991.52,2.613,0,2016-10-15,"289",265,131,307,"buoy","lf"
"72",2016,10,16,1.853,0.985,12.33,88.35,979.21,3.636,9.808,2016-10-16,"290",265,131,307,"buoy","lf"
"73",2016,10,17,12.416,0.553,8.81,79.15,980.62,2.521,1.152,2016-10-17,"291",265,131,307,"buoy","lf"
"74",2016,10,18,4.792,0.896,12.57,88.54,971.94,4.436,12.921,2016-10-18,"292",265,131,307,"buoy","lf"
